"","Annot","Term","Annotated","Significant","Pvalue","Padj","GeneID"
"GO:0009987","GO:0009987","cellular process",17459,137,1.32500770427355e-14,4.07174867523263e-11,"Abcc1,Ackr4,Acvr2b,Adamts17,Adap2,Agap2,Agmo,Akap1,Ankrd50,Anxa1,Arap2,Arhgap26,Arnt2,Arrdc4,Atp10a,Atp2b3,Atp2c1,B3galnt1,Bbs7,Bcas3,Bod1l,Bst1,Cc2d2a,Ccna2,Cd300a,Cd93,Cetn4,Cfl2,Chd9,Chordc1,Chrna7,Chst2,Clcf1,Clec16a,Clmn,Cltc,Csmd3,Cyfip1,Dab1,Dhx36,Eif2a,Elovl5,Emb,Eny2,Eri1,Etv1,Fam126a,Fbxl5,Fgf2,Gclc,Gm5150,Gm9733,Gnb4,Grk5,Gsap,H2-DMb1,Haus8,Htr2c,Huwe1,Ifi202b,Il16,Inpp4b,Ipo11,Iqgap1,Isg20,Klf5,Litaf,Lrrcc1,Lyplal1,Mcee,Mctp2,Met,Mid1,Mkrn3,Mllt3,Mrgpra2b,Msi2,Myh10,Myom1,Nasp,Nbea,Nfia,Nhlrc3,Nmd3,Nrcam,Nudt6,Nupl2,P4ha1,Papss1,Paqr8,Pde4d,Pdlim1,Pi4k2b,Plk2,Plscr1,Plxna4,Polr3f,Ppp1r3b,Prune2,Pstpip1,Ptpn12,Ptprm,Rabgap1l,Rbfox1,Rbpms,Rgs18,Rnd3,Rora,Sall1,Serpina1b,Sesn1,Siglech,Sipa1l1,Sirpb1a,Slfn2,Slfn8,Slfn9,Snx13,Srsf1,Tbc1d14,Tbc1d30,Tbc1d4,Tbcel,Tceanc2,Tfdp2,Tfec,Thy1,Tln2,Tm2d3,Tmem135,Tmem33,Trpm3,Trpm6,Tuba1a,Ublcp1,Zc3h12b,Zmat3"
"GO:0051179","GO:0051179","localization",6301,71,2.90229003509544e-11,4.45936863892414e-08,"Abcc1,Ackr4,Acvr2b,Agap2,Akap1,Ankrd50,Anxa1,Arrdc4,Atp10a,Atp2b3,Atp2c1,Bbs7,Bcas3,Bst1,Cc2d2a,Cd300a,Cfl2,Chrna7,Chst2,Clcf1,Clec16a,Clmn,Cltc,Cyfip1,Dab1,Dhx36,Emb,Eny2,Fam126a,Fgf2,Gclc,Gm5150,Gm9733,Htr2c,Il16,Inpp4b,Ipo11,Iqgap1,Klf5,Lyplal1,Mctp2,Met,Mid1,Myh10,Myom1,Nasp,Nbea,Nmd3,Nrcam,Nupl2,Pde4d,Pdlim1,Plk2,Plscr1,Plxna4,Pstpip1,Ptprm,Rabgap1l,Rnd3,Siglech,Sirpb1a,Snx13,Srsf1,Tbc1d14,Tbc1d4,Thy1,Tmem135,Trpm3,Trpm6,Ttc39b,Zmat3"
"GO:0071840","GO:0071840","cellular component organization or biogenesis",6394,68,1.4529885076379e-09,1.48834456132375e-06,"Abcc1,Adamts17,Agap2,Anxa1,Arhgap26,Arrdc4,Atp10a,Atp2c1,Bbs7,Bcas3,Bst1,Cc2d2a,Cd300a,Cetn4,Cfl2,Chd9,Chordc1,Chrna7,Clec16a,Clmn,Cltc,Csmd3,Cyfip1,Dab1,Dhx36,Eif2a,Emb,Eny2,Eri1,Etv1,Gclc,H2-DMb1,Haus8,Huwe1,Iqgap1,Isg20,Klf5,Met,Mid1,Mllt3,Myh10,Nasp,Nfia,Nmd3,Nrcam,P4ha1,Pde4d,Pdlim1,Pi4k2b,Plk2,Plscr1,Plxna4,Pstpip1,Ptprm,Rnd3,Sesn1,Sipa1l1,Srsf1,Tbc1d14,Tbc1d30,Tbc1d4,Tbcel,Thy1,Tmem135,Tmem33,Trpm6,Tuba1a,Zmat3"
"GO:0065007","GO:0065007","biological regulation",13136,107,2.92633317302439e-09,2.24815546017598e-06,"Abcc1,Ackr4,Acvr2b,Adap2,Agap2,Akap1,Anxa1,Arap2,Arhgap26,Arnt2,Arrdc4,Atp10a,Atp2b3,Atp2c1,Bbs7,Bcas3,Bod1l,Bst1,Cc2d2a,Ccna2,Cd300a,Cfl2,Chordc1,Chrna7,Chst2,Clcf1,Clec16a,Clmn,Cltc,Csmd3,Cyfip1,Dab1,Dhx36,Eif2a,Elovl5,Eny2,Eri1,Etv1,F8,Fbxl5,Fgf2,Gclc,Gm5150,Gm9733,Gnb4,Grk5,Gsap,H2-DMb1,Htr2c,Huwe1,Il16,Inpp4b,Iqgap1,Isg20,Klf5,Litaf,Lyplal1,Mctp2,Met,Mid1,Mllt3,Mrgpra2b,Myh10,Myom1,Nav2,Nbea,Nfia,Nmd3,Nrcam,Nudt6,Pde4d,Pdlim1,Plk2,Plscr1,Plxna4,Polr3f,Ppp1r3b,Ptpn12,Ptprm,Rabgap1l,Rbfox1,Rbpms,Rgs18,Rnd3,Rora,Sall1,Scpep1,Serpina1b,Sesn1,Sipa1l1,Sirpb1a,Slfn2,Snx13,Srsf1,Tbc1d14,Tbc1d15,Tbc1d30,Tbc1d4,Tfdp2,Tfec,Thy1,Tmem135,Tmem33,Tspan8,Ttc39b,Tuba1a,Zmat3"
"GO:0043087","GO:0043087","regulation of GTPase activity",345,14,6.05765411971986e-09,3.72303422197982e-06,"Adap2,Arap2,Bcas3,Iqgap1,Met,Plxna4,Rabgap1l,Sipa1l1,Snx13,Tbc1d14,Tbc1d15,Tbc1d30,Tbc1d4,Thy1"
"GO:0006810","GO:0006810","transport",4547,53,1.25682546469167e-08,6.43704108832916e-06,"Abcc1,Acvr2b,Agap2,Akap1,Ankrd50,Anxa1,Arrdc4,Atp10a,Atp2b3,Atp2c1,Bbs7,Bcas3,Cd300a,Chrna7,Clcf1,Clec16a,Clmn,Cltc,Cyfip1,Emb,Eny2,Fgf2,Gclc,Gm5150,Gm9733,Htr2c,Il16,Inpp4b,Ipo11,Lyplal1,Mctp2,Met,Myh10,Myom1,Nasp,Nbea,Nmd3,Nupl2,Pde4d,Plscr1,Pstpip1,Rabgap1l,Siglech,Sirpb1a,Snx13,Srsf1,Tbc1d14,Tbc1d4,Thy1,Trpm3,Trpm6,Ttc39b,Zmat3"
"GO:0016043","GO:0016043","cellular component organization",6200,64,2.15295126855326e-08,8.98338457418573e-06,"Abcc1,Adamts17,Agap2,Anxa1,Arhgap26,Atp10a,Atp2c1,Bbs7,Bcas3,Bst1,Cc2d2a,Cd300a,Cetn4,Cfl2,Chd9,Chordc1,Chrna7,Clec16a,Clmn,Cltc,Csmd3,Cyfip1,Dab1,Dhx36,Eif2a,Emb,Eny2,Etv1,Gclc,H2-DMb1,Haus8,Huwe1,Iqgap1,Klf5,Met,Mid1,Mllt3,Myh10,Nasp,Nfia,Nrcam,P4ha1,Pde4d,Pdlim1,Pi4k2b,Plk2,Plscr1,Plxna4,Pstpip1,Ptprm,Rnd3,Sesn1,Sipa1l1,Srsf1,Tbc1d14,Tbc1d30,Tbc1d4,Tbcel,Thy1,Tmem135,Tmem33,Trpm6,Tuba1a,Zmat3"
"GO:0051128","GO:0051128","regulation of cellular component organization",2457,36,2.33866178306169e-08,8.98338457418573e-06,"Anxa1,Atp10a,Bcas3,Bst1,Cd300a,Cfl2,Chordc1,Chrna7,Clec16a,Cltc,Csmd3,Cyfip1,Dab1,Dhx36,Gclc,Huwe1,Iqgap1,Klf5,Met,Mid1,Mllt3,Myh10,Nrcam,Plk2,Plxna4,Rnd3,Sesn1,Sipa1l1,Tbc1d14,Tbc1d30,Tbc1d4,Thy1,Tmem135,Tmem33,Tuba1a,Zmat3"
"GO:0050789","GO:0050789","regulation of biological process",12509,101,3.75659723464477e-08,1.26876789175367e-05,"Abcc1,Ackr4,Acvr2b,Adap2,Agap2,Akap1,Anxa1,Arap2,Arhgap26,Arnt2,Arrdc4,Atp10a,Atp2c1,Bbs7,Bcas3,Bod1l,Bst1,Cc2d2a,Ccna2,Cd300a,Cfl2,Chordc1,Chrna7,Chst2,Clcf1,Clec16a,Clmn,Cltc,Csmd3,Cyfip1,Dab1,Dhx36,Eif2a,Elovl5,Eny2,Eri1,Etv1,Fbxl5,Fgf2,Gclc,Gm5150,Gm9733,Gnb4,Grk5,Gsap,H2-DMb1,Htr2c,Huwe1,Il16,Inpp4b,Iqgap1,Isg20,Klf5,Litaf,Lyplal1,Mctp2,Met,Mid1,Mllt3,Mrgpra2b,Myh10,Myom1,Nfia,Nmd3,Nrcam,Nudt6,Pde4d,Pdlim1,Plk2,Plscr1,Plxna4,Polr3f,Ppp1r3b,Ptpn12,Ptprm,Rabgap1l,Rbfox1,Rbpms,Rgs18,Rnd3,Rora,Sall1,Serpina1b,Sesn1,Sipa1l1,Sirpb1a,Slfn2,Snx13,Srsf1,Tbc1d14,Tbc1d30,Tbc1d4,Tfdp2,Tfec,Thy1,Tmem135,Tmem33,Tspan8,Ttc39b,Tuba1a,Zmat3"
"GO:0051234","GO:0051234","establishment of localization",4707,53,4.12875981696604e-08,1.26876789175367e-05,"Abcc1,Acvr2b,Agap2,Akap1,Ankrd50,Anxa1,Arrdc4,Atp10a,Atp2b3,Atp2c1,Bbs7,Bcas3,Cd300a,Chrna7,Clcf1,Clec16a,Clmn,Cltc,Cyfip1,Emb,Eny2,Fgf2,Gclc,Gm5150,Gm9733,Htr2c,Il16,Inpp4b,Ipo11,Lyplal1,Mctp2,Met,Myh10,Myom1,Nasp,Nbea,Nmd3,Nupl2,Pde4d,Plscr1,Pstpip1,Rabgap1l,Siglech,Sirpb1a,Snx13,Srsf1,Tbc1d14,Tbc1d4,Thy1,Trpm3,Trpm6,Ttc39b,Zmat3"
