geneID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Xkr4	122.4541298	-0.605498148	0.371400848	-1.630309009	0.103036204	0.758985592
Rp1	2.231198612	-1.504153951	2.773262952	-0.542376968	0.587558843	0.970131884
Sox17	345.4049789	-0.325202534	0.267124237	-1.217420545	0.22344425	0.875868667
Mrpl15	1235.172044	-0.040662238	0.129415006	-0.314200335	0.753368889	0.995542231
Lypla1	1810.133619	-0.028633404	0.102962807	-0.278094633	0.780939716	0.995542231
Tcea1	1883.905584	-0.082550371	0.130136796	-0.634335353	0.525861989	0.961223421
Rgs20	83.99996255	-0.161468075	0.518231927	-0.311574928	0.755363591	0.995542231
Atp6v1h	7923.99816	0.01365862	0.099184481	0.13770925	0.890470209	0.995542231
Oprk1	105.979084	0.177793739	0.399902648	0.444592552	0.656614231	0.982420466
Npbwr1	0.038033754	0.258692194	4.279576766	0.060448079	0.951798767	NA
Rb1cc1	4204.958859	0.104490028	0.160075293	0.652755502	0.513913915	0.960778412
Fam150a	0	NA	NA	NA	NA	NA
St18	2.231387864	-3.291748487	2.427413514	-1.356072407	0.175076131	0.836016148
Pcmtd1	2510.918094	-0.035632416	0.095522055	-0.373028155	0.709127489	0.993247454
Sntg1	229.9732116	0.129318352	0.260519174	0.496387081	0.619621338	0.976361589
Rrs1	824.3028602	0.156324357	0.150353896	1.03970939	0.298474937	0.903982465
Adhfe1	102.7633225	0.106774619	0.38435971	0.277798677	0.781166907	0.995542231
2610203C22Rik	15.40889246	-1.971260267	1.062926826	-1.85455877	0.06365926	0.685823909
3110035E14Rik	2.614695705	-3.380853409	2.690350853	-1.256658924	0.208877168	0.865426326
Mybl1	197.3862325	-0.61843381	0.225092471	-2.747465552	0.006005782	0.34676343
Vcpip1	1867.691308	-0.165761047	0.148360902	-1.11728255	0.263873534	0.891492119
1700034P13Rik	3.055671643	1.884431893	2.05524992	0.91688698	0.359201867	0.922858883
Sgk3	333.030775	0.069003423	0.190102027	0.362980995	0.716619081	0.994525508
Mcmdc2	17.15268662	-0.3010311	1.151712851	-0.26137687	0.793801892	0.995542231
Snhg6	253.8565971	0.152467139	0.248828844	0.612739008	0.540048925	0.961223421
Snord87	3.126780384	1.07136015	3.116642265	0.343754611	0.731030837	0.995542231
Tcf24	17.5084001	1.368147529	0.994685395	1.375457542	0.16898964	0.828744345
Ppp1r42	0.185865462	0.258708558	4.279576766	0.060451903	0.951795722	NA
Cops5	5540.916469	0.072451764	0.08500713	0.852302205	0.394046383	0.932271689
Cspp1	384.5258162	-0.284840187	0.212837016	-1.338301922	0.180798036	0.841644769
Arfgef1	5380.785505	-0.072790218	0.127548498	-0.570686597	0.568212106	0.96820167
Cpa6	5.543755148	-0.996447795	1.76824204	-0.563524547	0.57307775	0.969654016
Mir467e	0	NA	NA	NA	NA	NA
Prex2	889.1054975	0.070320601	0.148654225	0.473048118	0.63617885	0.978231238
A830018L16Rik	2305.000748	0.118003156	0.126341202	0.934003748	0.35030196	0.922111471
Mir6341	0	NA	NA	NA	NA	NA
Gm17644	0.034248072	-0.22220215	4.279576766	-0.051921524	0.958591223	NA
Sulf1	1075.586018	-0.011047447	0.123608998	-0.089374135	0.928784578	0.995542231
Slco5a1	1491.830987	0.00602433	0.145791258	0.041321611	0.967039505	0.995902963
Prdm14	0	NA	NA	NA	NA	NA
Ncoa2	2665.533412	-0.136162001	0.116139729	-1.172398135	0.241037248	0.887708818
Tram1	1683.396509	-0.198811379	0.085038998	-2.337884794	0.019393225	0.510433092
Lactb2	882.4918575	0.175500487	0.163394015	1.074093731	0.282780674	0.898217119
Xkr9	0.127978983	0.258705117	4.279576766	0.060451098	0.951796362	NA
Gm5523	6.989521365	0.498702595	1.047903267	0.475905181	0.634141931	0.978231238
Eya1	28.69912549	-0.084651105	0.645485506	-0.131143309	0.895661941	0.995542231
Msc	220.5083786	0.300215845	0.246884191	1.21601891	0.223977719	0.876023623
Trpa1	2276.757251	-0.330819769	0.257687389	-1.28380271	0.199210995	0.856350417
Kcnb2	1163.51645	-0.287349643	0.283692581	-1.012890932	0.31111226	0.908065967
Terf1	384.0462546	-0.089420128	0.149392886	-0.598556799	0.549468472	0.964389693
