geneID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Xkr4	122.4541298	-0.180688845	0.372545468	-0.485011523	0.627668171	0.829819977
Rp1	2.231198612	-3.754583806	2.885054702	-1.301390855	0.193124702	NA
Sox17	345.4049789	-0.344743765	0.26757602	-1.288395594	0.197608292	0.466478972
Mrpl15	1235.172044	0.190528445	0.129100739	1.475812196	0.139994316	0.388473491
Lypla1	1810.133619	0.127546289	0.102723222	1.241650007	0.214365723	0.489176075
Tcea1	1883.905584	0.142908632	0.129970141	1.099549723	0.271528358	0.55535139
Rgs20	83.99996255	0.331058682	0.516926713	0.640436398	0.521888926	0.761627376
Atp6v1h	7923.99816	0.426435242	0.099075419	4.304147748	1.68E-05	0.000653982
Oprk1	105.979084	0.221975513	0.398018605	0.55770135	0.577048336	0.797825065
Npbwr1	0.038033754	-0.06391991	4.279576766	-0.014936035	0.988083211	NA
Rb1cc1	4204.958859	0.123534684	0.159984377	0.772167171	0.440015423	0.7023002
Fam150a	0	NA	NA	NA	NA	NA
St18	2.231387864	4.039455557	2.410011595	1.676114574	0.093715753	NA
Pcmtd1	2510.918094	-0.076644863	0.095435231	-0.803108689	0.421911916	0.688938749
Sntg1	229.9732116	0.490178756	0.258650454	1.895139748	0.05807389	0.231241123
Rrs1	824.3028602	0.2466641	0.149676377	1.647982839	0.099356193	0.319929151
Adhfe1	102.7633225	-0.363912767	0.384246109	-0.947082503	0.34359674	0.624140275
2610203C22Rik	15.40889246	1.464938112	1.064053832	1.376751878	0.168588973	NA
3110035E14Rik	2.614695705	4.696009634	2.671039386	1.7581207	0.078726974	NA
Mybl1	197.3862325	0.558855294	0.224526997	2.489033836	0.012809077	0.089152983
Vcpip1	1867.691308	0.205048155	0.148226643	1.383342091	0.166559998	0.426461951
1700034P13Rik	3.055671643	-0.220410185	1.991889732	-0.110653809	0.911890876	NA
Sgk3	333.030775	-0.258395047	0.189911811	-1.360605459	0.173638405	0.43663
Mcmdc2	17.15268662	0.392678397	1.14977544	0.341526166	0.73270751	NA
Snhg6	253.8565971	0.018135186	0.247943011	0.073142558	0.941692676	0.978039427
Snord87	3.126780384	-3.53763565	3.169482059	-1.116155758	0.264355468	NA
Tcf24	17.5084001	-1.762178335	0.995699544	-1.769789236	0.076762258	NA
Ppp1r42	0.185865462	1.574084594	4.249718287	0.370397398	0.711086413	NA
Cops5	5540.916469	0.224598993	0.084859249	2.646723783	0.008127571	0.065977825
Cspp1	384.5258162	-0.315344717	0.213248983	-1.478763054	0.139203654	0.387170192
Arfgef1	5380.785505	0.098896852	0.127494991	0.775692056	0.437930832	0.700880151
Cpa6	5.543755148	-0.591608809	1.784174469	-0.331586859	0.740201243	NA
Mir467e	0	NA	NA	NA	NA	NA
